"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 10 15:14:15 WAT 2023","Thu Aug 10 15:14:15 WAT 2023","102","Module 3B","Task 3","","","","get books",""
"passed","Thu Aug 10 15:14:16 WAT 2023","Thu Aug 10 15:14:17 WAT 2023","1112","Module 3B","Task 4","","","","Order_Book_Random_Name Copy",""
"passed","Thu Aug 10 15:14:15 WAT 2023","Thu Aug 10 15:14:15 WAT 2023","92","Module 3B","Task 3","","","","verify Id",""
"passed","Thu Aug 10 15:14:17 WAT 2023","Thu Aug 10 15:14:17 WAT 2023","76","Module 3B","Task 4","","","","Get_Books Copy",""
"passed","Thu Aug 10 15:14:15 WAT 2023","Thu Aug 10 15:14:15 WAT 2023","55","Module 3B","Task 2 Copy","","","","Delete user",""
"passed","Thu Aug 10 15:14:14 WAT 2023","Thu Aug 10 15:14:14 WAT 2023","46","Module 3B","Task 2","","","","Delete user",""
"passed","Thu Aug 10 15:14:15 WAT 2023","Thu Aug 10 15:14:15 WAT 2023","75","Module 3B","Task 2 Copy","","","","Get user by user name",""
"passed","Thu Aug 10 15:14:15 WAT 2023","Thu Aug 10 15:14:15 WAT 2023","88","Module 3B","Task 2 Copy","","","","Create user",""
"passed","Thu Aug 10 15:14:14 WAT 2023","Thu Aug 10 15:14:14 WAT 2023","215","Module 3B","Task 2","","","","Create user",""
"passed","Thu Aug 10 15:14:15 WAT 2023","Thu Aug 10 15:14:16 WAT 2023","742","Module 3B","Task 4","","","","Order_Book Copy",""
"passed","Thu Aug 10 15:14:14 WAT 2023","Thu Aug 10 15:14:15 WAT 2023","70","Module 3B","Task 2","","","","Get user by user name",""
